	id	label	tweet
13	14	1	  calls michigan middle school build   wall chant  tcot  
14	15	1	no comment    australia   opkillingbay seashepherd helpcovedolphins thecove  helpcovedolphins
17	18	1	retweet     agree 
23	24	1	  lumpy says        prove   lumpy
34	35	1	  unbelievable       st century wed need something like   again neverump  xenophobia 
56	57	1	 lets fight against  love peace 
68	69	1	  white establishment     blk folx running around loving themselves   promoting   greatness  
77	78	1	   white people     call people white     race  identity med
82	83	1	    altright uses  amp insecurity   lure men into whitesupremacy    
111	112	1	     interested     linguistics   doesnt address race amp  racism   about power raciolinguistics brings
114	115	1	      mocked obama   being black      brexit
131	132	1	people   protesting trump     republican wonthey       trump   fuhered  amp 
151	152	1	yes        call michelleobama   gorilla   racists     thought   black people   no bet 
156	157	1	    smaller hands show barry probably lied about  being     knicks game sucked       golf 
167	168	1	    point one finger  millions   pointed right back      jewishsupremacist
192	193	1	  might     libtard   libtard  sjw liberal politics 
210	211	1	   out   trash america     voted against hate    voted against     voted against     vot 
232	233	1	    hold open   door     woman   shes   woman           nice thing     thats    even try   deny  
263	264	1	   man ran   governor   ny   state     biggest africanamerican population    
264	265	1	stereotyping prejudice  offer no hope   solutions   create   same old repetitive hate conflict 
269	270	1	  manypols passed     many times     nothing   bluelivesmatter draintheswamp  ferguson  
313	314	1	 horribly  ads        us cringe 
321	322	1	   dying     light  village greentown  antisemitism hocoschools columbiamd hocomd
332	333	1	   never answered   about   statement     nazis over hatred  amp bigotry being found   
354	355	1	  might     libtard   libtard  sjw liberal politics 
362	363	1	trump ny cochair makes racist remarks about michelle obama      fyi  tcot
374	375	1	   pic says otherwise   young girls confined     kitchen     void   meaning beyond cheap publicity topoli 
405	406	1	     blocked      troll     promise    blacklivesmatter amp let   nonsensical rants boos 
425	426	1	    nazis studied american race laws   inspiration   ushistory  eugenics
432	433	1	 biherism absolutely originated   hateful  bigotry altright hatred     african american potus theresistance
443	444	1	fo woh officer   viral arrest video   rude   racist chief  crime officer 
486	487	1	discussing republicans     same thing   critiquing      ignore   consequences
498	499	1	    black amp   like      stomping       retweet tampa miami 
515	516	1	 allahsoil     familiar   become     difficult       stereotype    
526	527	1	anti racist     codeword   antiwhite   asia     asians  africa     africans  white countries   everyon 
531	532	1	   praised cleveland police during rnc   police   under   consent decree    white  tamirrice rip
544	545	1	   doesnt prevent     being        bigot
550	551	1	 girls     world sexy mature housewife 
558	559	1	     like   blacklivesmatter slogan  talk about being 
569	570	1	 feminismiscancer feminismisterrorism feminismmuktbharat    malevote   ignored  
571	572	1	fox new   coming out   saying   bluntly one     most  things   read 
579	580	1	 yes lets   thissuppoing   openly prowar anti islamichomophobicrapistwho advocates     samehypocrite
609	610	1	 porn vids wwwsmallgirlsexcom
617	618	1	  latest obsidian radio daily  thanks       latesnews
621	622	1	  might     libtard   libtard  sjw liberal politics 
622	623	1	     overwhelming evidence     company trump keeps echoes   sentiments amp ideals dumptrump 
649	650	1	nigger lifelessons     white kid   grew         blogpost  whitepeople respect 
692	693	1	carolyn cooper  ugly poor ignorant   black  
733	734	1	 no he   definitely    mexican fakenewsale
735	736	1	standing     racism   hate   americad   curse out congress     haters      deplorable  hate 
746	747	1	 trump used hate    putin   win   white house trump presses attack   khan family   gop leaders 
749	750	1	everytime   wear soccer shis joie fries     says   look mexican   fuck  
763	764	1	  danger   white liberalism   oveurning  applies   liberal men   feminism    
771	772	1	great aicle right     money starspangledbanner slavery apaheid  usa 
780	781	1	 thank     power   social media    aande 
790	791	1	     keep telling   only aryans   allowed   rape women        troll eod  
793	794	1	 any minute trump   condemn    vile bigoted comments     surrogate carlpaladino endhate 
795	796	1	 allahsoil vps   multimillion dollar bonuses while average americans lost   homes   
802	803	1	 jan interested     discrimination      affected   criminal justice system 
804	805	1	keep     opposition     endthenation
811	812	1	  guess    talking about progress     advancement    misogyny homophobia bigotry
815	816	1	 jake   right  many ppl lack     power       stand amp drown   small minded amp oft evil tendencies   past 
826	827	1	      possible       speak   any topic without bringing race into     bigot   
831	832	1	rushlimbaugh     incredibly  obama impression  via 
860	861	1	black professor makes assumptions about   entire race whilst speaking   entire race next week   jews 
863	864	1	trumpusa   they call us   homophobic misogynist they   really saying they   jealous   us   
879	880	1	  liked    video     sjw retard     
889	890	1	 msg   hope   newyear   business   end  endof tedtalks tedatibm   
912	913	1	 non stop election    blame cspan   hiding     years  pittsburgh california 
916	917	1	people   protesting trump     republican wonthey       trump   fuhered  amp 
933	934	1	       opinion racism   degrading people based   race   justify discrimination   open violence against them stopracism
979	980	1	 allahsoil   next best seller book isis islam inworlds inwords terrorists gwot  
984	985	1	   forget   research shows   sexist men   psychological problems tuckercarlson 
987	988	1	no     attracted   asian ppl       asian        tell   no     attracted           inse race   hoe   
994	995	1	  defines  historically oppressed   historic oppressorsprivileged
1002	1003	1	  latest   volatile daily  thanks       space
1006	1007	1	 radicalism shouldnt   countered    terrorists see us   inhumans       free   judge   color
1039	1040	1	    look   passionate they   about ivankatrump     plane     fake   ignore adamsaleh ra
1047	1048	1	todays  donkey zionazi   proud   murdering real palestinian semitic children  thats     call 
1079	1080	1	   fn   seeking   rid     antisemitic xenophobic image   majority     sympathisers still describe   
1108	1109	1	   happy    lbgt familybut       get     incessant   thin veiled  against other gay minorities
1116	1117	1	no racist intent     guy joking  via   trump barackobama michelleobama
1136	1137	1	  quebecs humanrights amp justice system fail   protect victims   police     
1155	1156	1	   would   never guessed   would     disappointed     city  berlin 
1170	1171	1	     works   uk   id   white amp those politician impoed thieves black   investigate amp prosecute returnmyvinyl 
1207	1208	1	  latest   maryland daily  thanks     chrismukkah 
1214	1215	1	also keyboard        type cause coopting terrorists reg syria   autocorrects   cause colored terrorists
1241	1242	1	 although            bigot     misogynist     hope     still qualify keepyoureyesontheprizemlk
1244	1245	1	   america owes blacks    africanamerican reparations  
1247	1248	1	  potus were white hed still     worst president     most likely   most  president   trump israel happynewyear
1251	1252	1	decolonizing   curriculum   only way through   process   together   decolonization 
1274	1275	1	       profitable thing   america 
1317	1318	1	  treasonoustrump unsatisfied     whiteisis  terrorism   moved into nuclear terror     new 
1336	1337	1	yay except ellen    comments   should     suppoing her       kimburrell   homoresistant 
1346	1347	1	 newyear new prez new destruction new commercials new new order new tweets new poopin new kids    
1366	1367	1	           shuckinandjivin      democraticpay   only     vote
1374	1375	1	      like    hitler   definitely   going   like traitor trump
1382	1383	1	      liberals   selfloathing doesnt mean   rest   us     only weapon         yell 
1392	1393	1	 buffalo school districts boots trump ally over racist comments birdsofafeather  resist   
1393	1394	1	  dear versace   buy            yur retail sign pissedoffitalian
1400	1401	1	 pay   rich white  snobs  via  tcot tpc
1409	1410	1	 ultimately   joke   early      wish         tell   also wish         well       
1411	1412	1	shot inside   pussy  office woman 
1446	1447	1	     need   different word altogether   defines hatred against whites andor men     satisfy hateful ppl like her
1456	1457	1	 feminismiscancer feminismisterrorism feminismmuktbharat    malevote   ignored  
1463	1464	1	tyler perry claims reverse racism   critics     tlc series tyler perry claims reverse  critics 
1479	1480	1	smh       these one sided standards 
1485	1486	1	   get   own house   order      returning stolen land  hypocrite  liar inhumane 
1491	1492	1	psa     age   information   true ethnicity   biblical people   caused   overlap      
1504	1505	1	   coz       few   these vids   mean they     woh wotching they     hilarious   must watc 
1525	1526	1	sikh temple vandalised     calgary wso condemns  act  
1541	1542	1	 allahsoil     muslims hate america    emiratis inwords 
1542	1543	1	   felt   lawrence fishburn   added     magical negro hollywood stereotypes        
1553	1554	1	 feds provide inadequate mentalhealth care   firstnations internal memo  thirdworldcanada 
1564	1565	1	  amp    democraticpay keeps telling     blm     see chicago detroit amp every other inn
1571	1572	1	get over     world keeps spinning  
1583	1584	1	    own team     new mc  amp show   phillysuppophilly amp combat  
1586	1587	1	  talking about  makes racism worst     logic talking about   talking about racism makes   worst makes   worst
1596	1597	1	 allahsoil   problem     theres no space   alternative explanations   
1602	1603	1	paul beloy    still   issue   varying levels   belgian football   
1633	1634	1	        target illegals andor criminals     plain commonsense    
1669	1670	1	lying      disingenuous excuses    deviant remarks about michelle amp barackobama 
1672	1673	1	bullshit he   thrown out   being   muslim   
1709	1710	1	hope   see       show   feminist reproductiverights bihcontrol 
1717	1718	1	   might     libtard   libtard  sjw liberal politics 
1741	1742	1	hillaryclinton calls     homophobic misogynist she really means she   jealous   wh 
1742	1743	1	  wanna   fucked     id              
1751	1752	1	 no liberal believes         pay   inclusivity   believes   equality     anywhere       tra 
1760	1761	1	  newyearsevemay   resolutions    end problems like  amp domesticviolence   turning  god   love 
1768	1769	1	japan abe government   mere puppet   ultra rightist group japan conference fascism  guardian nytimes bbc afp rsf
1779	1780	1	   thought altright secretly meant white nationalist altright  maga 
1783	1784	1	  no hitler comparisons
1802	1803	1	 homegrown rightie white americans    times   likely   harm       refugee  fear
1858	1859	1	  black amp   like      stomping     listen  retweet tampa miami 
1860	1861	1	  might     libtard   libtard  sjw liberal politics 
1868	1869	1	  academia yehtut offers   nuanced     rohingya dvbmultimediagroup yehtut    amp 
1892	1893	1	 malia shake   ass     finepass   blunt 
1894	1895	1	gop   fail   antimorality platform  
1912	1913	1	    look     problem       thing   thing     color     black   white   pa     problem 
1934	1935	1	 names   women fucking hard teen 
1939	1940	1	   agree   hrc wouldnt   won   popularvote wo ca much   same way trump wouldnt win wo    
1942	1943	1	 chick gets fucked nude superhero 
1945	1946	1	 sex free sex hotline numbers
1949	1950	1	    trump suppoers voicing   thoughts   womens suffrage   germanys immigration policy  
1997	1998	1	 riyadh   renowned         deadliest traffic     world       inwords 
2005	2006	1	     electoralcollege elects  presidents trump notmypresident newswithed 
2014	2015	1	  needs   fire  amp   dumb mfer   hired    genocide promoting ass   hire   graduates
2023	2024	1	 people   colour     enjoy equality within   lgbtq communitythey     excludedmarginalised group 
2044	2045	1	 seriously  lede come          better 
2087	2088	1	    hate crimes watch    arabs     never seen   much hate against   poor like    
2088	2089	1	 people spit     face   god  meditations        foxnews christians conservative christ
2097	2098	1	   argentine women protest facebooks sexist censorship rules eg   censorship freethenipple 
2110	2111	1	    heck       mean  please silence racism bully  
2118	2119	1	 allahsoil   crusader west vs islamic terrorism     popular sequel   capitalism vs communism 
2126	2127	1	show     tits idiot 
2130	2131	1	    disgusting grandmother grandsons   exist already 
2155	2156	1	  might     libtard   libtard  sjw liberal politics 
2157	2158	1	harbaugh   no time   stupid questions about bikinis  thank    no time     via 
